,Id,Inactive,Calories,Distance,Avg_speed,Max_speed,Min_speed,Step_count,Weight,Height,Move_m_count,Walk,bmi,bmi_cdn
176,U006,71567155,1827.554765,8111.258668,0.577261967,1.617033362,0.182840377,14071,51,160.2,181,Normal,19.921875,Normal
177,U006,76044558,1588.017914,4506.357925,0.447264579,1.344544768,0.256590426,7535,51,160.2,98,Below Normal,19.921875,Normal
178,U006,75772574,1620.180413,5054.620504,0.571895855,3.550269127,0.259074032,8119,51,160.2,106,Normal,19.921875,Normal
179,U006,76121923,1599.72572,5062.474913,0.747123027,1.627435684,0.264705807,7837,51,160.2,99,Normal,19.921875,Normal
180,U006,56805339,1351.166393,107.3986003,12.83116711,31.42045784,0.277962506,412,51,160.2,3,Ver Low,19.921875,Normal
181,U006,85882974,1333.671782,136.0074372,0.46183829,0.835405707,0.269038439,476,51,160.2,2,Ver Low,19.921875,Normal
182,U006,24326753,398.9508035,180.285347,2.80239709,12.64308643,0.298931569,367,51,160.2,6,Ver Low,19.921875,Normal
183,U007,79009415,1408.431315,8096.800172,0.954199095,12.174613,0.138921887,3873,50,160.5,53,Normal,19.53125,Normal
184,U007,85388662,1276.159248,19.07426387,0.311369032,0.311369032,0.311369032,268,50,160.5,1,Ver Low,19.53125,Normal
185,U007,76928595,1379.266664,2631.896288,0.902412173,3.449268341,0.158700675,4255,50,160.5,45,Ver Low,19.53125,Normal
186,U007,75794409,1456.353738,8316.916859,0.827167148,14.69940758,0.250470102,6503,50,160.5,95,Normal,19.53125,Normal
187,U007,73308317,1523.897426,5221.114955,0.47562389,1.850368857,0.250470102,8973,50,160.5,105,Normal,19.53125,Normal
188,U007,73614186,1554.310982,10226.2228,0.723071195,8.269710541,0.095257469,8324,50,160.5,121,Good,19.53125,Normal
189,U007,63268791,1478.113878,7918.117187,0.616186632,9.750802994,0.260103583,6781,50,160.5,96,Normal,19.53125,Normal
190,U007,86400000,1271.999992,2490.926869,0.550139352,1.7289389,0.260103583,114,50,160.5,,Ver Low,19.53125,Normal
191,U007,86400000,1271.999955,9.826135635,0.251410067,0.251410067,0.251410067,149,50,160.5,,Ver Low,19.53125,Normal
